coverage: t=9780s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9810s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9840s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9870s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9900s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9930s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9960s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9990s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10020s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10050s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10080s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10110s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10140s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10170s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10200s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10230s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10260s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10290s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10320s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10350s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10380s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10410s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10440s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10470s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=10500s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
